"","Var1","Freq"
"1","Full-time $150k - $200k",11
"2","Full-time $100k - $150k",4
"3","Full-time $100k - $120k",3
"4","Full-time $100k - $130k",3
"5","Full-time $100k - $175k",3
"6","Full-time $100k - $250k",3
"7","Full-time $120k - $150k",3
"8","Full-time $120k - $160k",3
"9","Full-time $150k - $250k",3
"10","Full-time $160k - $250k",3
"11","Full-time $110k - $160k",2
"12","Full-time $120k - $175k",2
"13","Full-time $130k - $150k",2
"14","Full-time $160k - $225k",2
"15","Full-time $175k - $200k",2
"16","Full-time $70k - $90k",2
"17","Full-time $80k - $100k",2
"18","Full-time $90k - $175k",2
