"","Var1","Freq"
"1","Machine Learning",63
"2","Python",61
"3","Data Mining",30
"4","Hadoop",29
"5","R",25
"6","SQL",21
"7","Java",14
"8","SPARK",14
"9","Data Science",13
"10","Algorithms",10
"11","Scala",9
"12","Algorithm Development",7
"13","Deep Learning",7
"14","Machine Learning algorithms",7
"15","Statistical Modeling",7
"16","Data Analysis",6
"17","Data Scientist",6
"18","NLP",6
"19","pandas",6
"20","Tableau",6
"21","AWS",5
"22","Big Data",5
"23","numpy",5
"24","PhD",5
"25","Apache Spark",4
"26","Bayesian Inference",4
"27","Data Analytics",4
"28","Data Visualization",4
"29","mongodb",4
"30","neural networks",4
"31","Predictive Modeling",4
"32","Python, Scala, or Java",4
"33","Python/R",4
"34","SAS",4
"35","scikit.learn",4
"36","Statistics",4
"37","Virtual Environments",4
"38","BI Reporting",3
"39","BI Reporting Tools",3
"40","Business Objects",3
"41","C/C++",3
"42","Congos",3
"43","elasticsearch",3
"44","Hive",3
"45","Jupyter",3
"46","Kafka",3
"47","Mapreduce",3
"48","Micro Strategy",3
"49","Networking",3
"50","OBIEE",3
"51","Online advertising",3
"52","Random Forest",3
"53","Security",3
"54","Agile Framework with Atlassian (OR Similar)",2
"55","Analytics Experience (Financial Industry a plus)",2
"56","Analyzing Large Data Sets",2
"57","Artificial Intelligence",2
"58","Basic Statistics and Data Analysis",2
"59","Bayesian Modeling",2
"60","Bayesian Networks",2
"61","C++",2
"62","Cluster Analysis",2
"63","Computer Science Degree",2
"64","Computer Vision",2
"65","d3js",2
"66","Data Ingestion and Processing",2
"67","Data Manipulation",2
"68","Data science (from industry)",2
"69","Distributed Frameworks",2
"70","Financial Statements",2
"71","Graph Analytics",2
"72","lead",2
"73","Linux",2
"74","Markov Chains",2
"75","matplotlib",2
"76","Natural Language Processing",2
"77","NoSQL Databases",2
"78","Open Source Software",2
"79","Personalization",2
"80","Ph.D",2
"81","Phenomenal written and oral communication",2
"82","Principal",2
"83","Prior teaching experience (not essential)",2
"84","R/Matlab",2
"85","Raw Data Analysis",2
"86","Regression analysis",2
"87","Research Scientist",2
"88","Ruby",2
"89","senior",2
"90","SQL Databases",2
"91","teaching experience",2
"92","Unclean/Semi- Structured/Unstructured Data",2
