03-11-2021,Symbol,Name,Price,Change,% Change,Volume,Avg Vol,Market Cap,PE Ratio,url
0,GE,,12.27,-0.98,-7.40%,305.186M,,107.583B,,https://finance.yahoo.com/quote/GE?p=GE
1,SNDL,,1.4200,+0.1100,+8.40%,244.521M,,2.358B,N/A,https://finance.yahoo.com/quote/SNDL?p=SNDL
2,NIO,,46.03,+4.71,+11.40%,132.398M,,71.757B,N/A,https://finance.yahoo.com/quote/NIO?p=NIO
3,AAPL,,121.96,+1.98,+1.65%,99.599M,,2.047T,,https://finance.yahoo.com/quote/AAPL?p=AAPL
4,PLTR,,26.73,+1.98,+8.00%,83.587M,,48.709B,N/A,https://finance.yahoo.com/quote/PLTR?p=PLTR
5,AMC,,10.28,+0.43,+4.37%,82.687M,,3.486B,N/A,https://finance.yahoo.com/quote/AMC?p=AMC
6,FINV,,9.77,+4.71,+93.08%,79.076M,,2.749B,N/A,https://finance.yahoo.com/quote/FINV?p=FINV
7,F,,12.81,-0.10,-0.77%,55.848M,,50.967B,N/A,https://finance.yahoo.com/quote/F?p=F
8,ITUB,,4.9200,+0.1400,+2.93%,51.963M,,44.866B,,https://finance.yahoo.com/quote/ITUB?p=ITUB
9,PBR,,8.25,+0.41,+5.23%,51.512M,,52.216B,N/A,https://finance.yahoo.com/quote/PBR?p=PBR
10,BBD,,4.5400,+0.1700,+3.89%,50.361M,,35.605B,,https://finance.yahoo.com/quote/BBD?p=BBD
11,NOK,,4.1000,+0.1400,+3.54%,46.987M,,23.769B,N/A,https://finance.yahoo.com/quote/NOK?p=NOK
12,BAC,,37.24,-0.13,-0.35%,45.84M,,321.279B,,https://finance.yahoo.com/quote/BAC?p=BAC
13,NNDM,,11.10,+1.72,+18.34%,45.309M,,2.762B,N/A,https://finance.yahoo.com/quote/NNDM?p=NNDM
14,AMD,,81.23,+3.71,+4.79%,43.584M,,98.396B,,https://finance.yahoo.com/quote/AMD?p=AMD
15,ORCL,,67.41,-4.71,-6.53%,37.996M,,198.457B,,https://finance.yahoo.com/quote/ORCL?p=ORCL
16,TLRY,,28.19,+4.09,+16.99%,37.04M,,4.843B,N/A,https://finance.yahoo.com/quote/TLRY?p=TLRY
17,T,,29.54,-0.45,-1.50%,35.539M,,210.672B,N/A,https://finance.yahoo.com/quote/T?p=T
18,AAL,,22.15,+0.40,+1.84%,38.286M,,14.169B,N/A,https://finance.yahoo.com/quote/AAL?p=AAL
19,FCEL,,18.36,+2.08,+12.78%,35.7M,,5.92B,N/A,https://finance.yahoo.com/quote/FCEL?p=FCEL
20,TSLA,,699.60,+31.54,+4.72%,35.586M,,671.514B,,https://finance.yahoo.com/quote/TSLA?p=TSLA
