"","Var1","Freq"
"1","San Francisco, CA",15
"2","Seattle, WA",10
"3","New York City, NY",8
"4","Boston, MA",4
"5","Palo Alto, CA",4
"6","Redwood City, CA",4
"7","San Mateo, CA",4
"8","Sunnyvale, CA",3
"9","West Hollywood, CA",3
"10","Cambridge, MA",2
"11","Chicago, IL",2
"12","Los Angeles, CA",2
"13","Mountain View, CA",2
"14","Santa Clara, CA",2
"15","Santa Monica, CA",2
"16","Stamford, CT",2
"17","Washington, DC",2
"18","Akron, OH",1
"19","Annapolis, MD",1
"20","Baltimore, MD",1
"21","Bethesda, MD",1
"22","Boise, ID",1
"23","Denver, CO",1
"24","Durham, NC",1
"25","Foster City, CA",1
"26","Irvine, CA",1
"27","Lake Mary, FL",1
"28","Lebanon, NH",1
"29","Lexington Park, MD",1
"30","Lexington, SC",1
"31","Los Altos, CA",1
"32","Louisville, KY",1
"33","Menlo Park, CA",1
"34","Mercer Island, WA",1
"35","New York, NY",1
"36","Newton, MA",1
"37","Philadelphia, PA",1
"38","Phoenix, AZ",1
"39","Portland, OR",1
"40","Reston, VA",1
"41","Round Rock, TX",1
"42","Saint Louis, MO",1
"43","San Antonio, TX",1
"44","San Clemente, CA",1
"45","San Jose, CA",1
"46","Sherman Oaks, CA",1
