"","Var1","Freq"
"1","Full-time Compensation Unspecified",26
"2","Full-time $150k - $200k",11
"3","Full-time $100k - $150k",4
"4","Full-time $0k - $0k",3
"5","Full-time $100k - $120k",3
"6","Full-time $100k - $130k",3
"7","Full-time $100k - $175k",3
"8","Full-time $100k - $250k",3
"9","Full-time $120k - $150k",3
"10","Full-time $120k - $160k",3
"11","Full-time $150k - $250k",3
"12","Full-time $160k - $250k",3
"13","Full-time $110k - $160k",2
"14","Full-time $120k - $175k",2
"15","Full-time $130k - $150k",2
"16","Full-time $160k - $225k",2
"17","Full-time $175k - $200k",2
"18","Full-time $70k - $90k",2
"19","Full-time $80k - $100k",2
"20","Full-time $90k - $175k",2
"21","Full-time $100k - $140k",1
"22","Full-time $110k - $120k",1
"23","Full-time $110k - $130k",1
"24","Full-time $110k - $150k",1
"25","Full-time $130k - $175k",1
"26","Full-time $130k - $200k",1
"27","Full-time $140k - $200k",1
"28","Full-time $140k - $225k",1
"29","Full-time $160k - $200k",1
"30","Full-time $175k - $225k",1
"31","Full-time $175k - $275k",1
"32","Full-time $175k - $400k",1
"33","Full-time $60k - $140k",1
"34","Full-time $60k - $90k",1
"35","Full-time $80k - $150k",1
"36","Full-time $95k - $120k",1
