"","Var1","Freq"
"1","experience",100
"2","",98
"3","data",98
"4","scientist",96
"5","today",91
"6","apply",90
"7","please",88
"8","work",76
"9","team",75
"10","machine",73
"11","learning",72
"12","python",69
"13","salary",62
"14","science",62
"15","company",61
"16","read",60
"17","benefits",58
"18","years",57
"19","competitive",56
"20","looking",54
"21","will",54
"22","k",52
"23","development",50
"24","knowledge",47
"25","large",44
"26","working",43
"27","analysis",42
"28","based",41
"29","great",41
"30","r",41
"31","join",40
"32","develop",39
"33","growing",39
"34","industry",39
"35","design",38
"36","new",38
"37","software",38
"38","statistical",38
"39","well",38
"40","business",37
"41","computer",37
"42","growth",37
"43","algorithms",36
"44","strong",36
"45","like",35
"46","opportunity",35
"47","research",35
"48","analytics",34
"49","senior",34
"50","skills",34
"51","base",33
"52","etc",33
"53","using",33
"54","vacation",33
"55","engineering",32
"56","mining",31
"57","s",31
"58","building",30
"59","can",30
"60","modeling",30
"61","models",30
"62","paid",30
"63","problems",30
"64","solutions",30
"65","complex",29
"66","degree",29
"67","developing",29
"68","java",29
"69","phd",29
"70","statistics",29
"71","us",29
"72","world",29
"73","big",28
"74","provide",28
"75","related",28
"76","compensation",27
"77","environment",27
"78","least",27
"79","product",27
"80","products",27
"81","spark",27
"82","vision",27
"83","excellent",26
"84","hadoop",26
"85","technology",26
"86","time",26
"87","directly",25
"88","field",25
"89","package",25
"90","platform",25
"91","pto",25
"92","tools",25
"93","create",24
"94","dental",24
"95","marketing",24
"96","sql",24
"97","systems",24
"98","help",23
"99","high",23
"100","san",23
"101","sets",23
"102","e",22
"103","expertise",22
"104","full",22
"105","highly",22
"106","insights",22
"107","make",22
"108","one",22
"109","techniques",22
"110","bonus",21
"111","processing",21
"112","top",21
"113","clients",20
"114","health",20
"115","including",20
"116","key",20
"117","level",20
"118","masters",20
"119","next",20
"120","optimization",20
"121","preferred",20
"122","quality",20
"123","rapidly",20
"124","solve",20
"125","teams",20
"126","advanced",19
"127","build",19
"128","d",19
"129","doe",19
"130","equity",19
"131","ideal",19
"132","intelligence",19
"133","projects",19
"134","resume",19
"135","analytical",18
"136","future",18
"137","innovative",18
"138","math",18
"139","predictive",18
"140","scala",18
"141","seeking",18
"142","support",18
"143","tech",18
"144","week",18
"145","francisco",17
"146","hands",17
"147","life",17
"148","located",17
"149","must",17
"150","opportunities",17
"151","part",17
"152","passionate",17
"153","real",17
"154","scale",17
"155","start",17
"156","also",16
"157","best",16
"158","customer",16
"159","language",16
"160","mathematics",16
"161","medical",16
"162","need",16
"163","problem",16
"164","programming",16
"165","role",16
"166","scientists",16
"167","sounds",16
"168","startup",16
"169","stock",16
"170","technical",16
"171","use",16
"172","access",15
"173","around",15
"174","candidate",15
"175","challenges",15
"176","consumer",15
"177","currently",15
"178","deep",15
"179","drive",15
"180","driven",15
"181","expert",15
"182","flexible",15
"183","include",15
"184","lead",15
"185","market",15
"186","match",15
"187","metrics",15
"188","offer",15
"189","position",15
"190","potential",15
"191","quantitative",15
"192","send",15
"193","solving",15
"194","technologies",15
"195","year",15
"196","analyzing",14
"197","c",14
"198","datasets",14
"199","following",14
"200","g",14
"201","information",14
"202","location",14
"203","model",14
"204","operations",14
"205","plus",14
"206","testing",14
"207","unstructured",14
"208","amazing",13
"209","awesome",13
"210","code",13
"211","comprehensive",13
"212","creative",13
"213","existing",13
"214","firm",13
"215","needed",13
"216","network",13
"217","ph",13
"218","project",13
"219","remote",13
"220","sas",13
"221","scalable",13
"222","seattle",13
"223","smart",13
"224","structured",13
"225","analyze",12
"226","application",12
"227","companies",12
"228","customers",12
"229","day",12
"230","decisions",12
"231","engineers",12
"232","experienced",12
"233","focused",12
"234","funded",12
"235","identify",12
"236","implementation",12
"237","improve",12
"238","insurance",12
"239","job",12
"240","love",12
"241","management",12
"242","motivated",12
"243","physics",12
"244","public",12
"245","search",12
"246","security",12
"247","take",12
"248","talented",12
"249","title",12
"250","tons",12
"251","understand",12
"252","unlimited",12
"253","want",12
"254","within",12
"255","ability",11
"256","able",11
"257","across",11
"258","ad",11
"259","algorithm",11
"260","applications",11
"261","areas",11
"262","ca",11
"263","client",11
"264","com",11
"265","comp",11
"266","cybercoders",11
"267","engineer",11
"268","equivalent",11
"269","fun",11
"270","grow",11
"271","healthcare",11
"272","impact",11
"273","implement",11
"274","individuals",11
"275","leadership",11
"276","learn",11
"277","maintain",11
"278","mathematical",11
"279","matlab",11
"280","pandas",11
"281","performance",11
"282","platforms",11
"283","points",11
"284","policy",11
"285","professional",11
"286","results",11
"287","source",11
"288","space",11
"289","training",11
"290","trends",11
"291","visualization",11
"292","assistance",10
"293","bi",10
"294","bonuses",10
"295","career",10
"296","cloud",10
"297","communication",10
"298","community",10
"299","daily",10
"300","domain",10
"301","exciting",10
"302","finance",10
"303","hard",10
"304","languages",10
"305","millions",10
"306","mobile",10
"307","ms",10
"308","office",10
"309","open",10
"310","oriented",10
"311","perform",10
"312","perks",10
"313","principal",10
"314","processes",10
"315","ranging",10
"316","reporting",10
"317","requirements",10
"318","successful",10
"319","t",10
"320","add",9
"321","analyses",9
"322","appropriate",9
"323","beautiful",9
"324","challenging",9
"325","cognos",9
"326","come",9
"327","consulting",9
"328","culture",9
"329","deliver",9
"330","deploy",9
"331","deployment",9
"332","distributed",9
"333","due",9
"334","edge",9
"335","efficient",9
"336","established",9
"337","excel",9
"338","forefront",9
"339","founded",9
"340","global",9
"341","guidance",9
"342","hire",9
"343","hive",9
"344","hours",9
"345","interested",9
"346","internal",9
"347","leading",9
"348","linux",9
"349","locations",9
"350","master",9
"351","microstrategy",9
"352","natural",9
"353","nlp",9
"354","prototypes",9
"355","providing",9
"356","recommendations",9
"357","relocation",9
"358","responsible",9
"359","right",9
"360","see",9
"361","sources",9
"362","tableau",9
"363","travel",9
"364","understanding",9
"365","users",9
"366","value",9
"367","write",9
"368","advertising",8
"369","ai",8
"370","amount",8
"371","automated",8
"372","aws",8
"373","bootcamp",8
"374","care",8
"375","change",8
"376","closely",8
"377","conduct",8
"378","creating",8
"379","cutting",8
"380","decision",8
"381","dedicated",8
"382","depending",8
"383","different",8
"384","digital",8
"385","direct",8
"386","discipline",8
"387","enhancing",8
"388","events",8
"389","findings",8
"390","first",8
"391","framework",8
"392","frameworks",8
"393","functional",8
"394","generous",8
"395","get",8
"396","ground",8
"397","helping",8
"398","ideally",8
"399","individual",8
"400","interview",8
"401","leader",8
"402","major",8
"403","making",8
"404","may",8
"405","months",8
"406","networks",8
"407","neural",8
"408","numpy",8
"409","object",8
"410","passion",8
"411","personalized",8
"412","presentations",8
"413","re",8
"414","record",8
"415","records",8
"416","required",8
"417","sales",8
"418","self",8
"419","set",8
"420","skill",8
"421","supporting",8
"422","transforming",8
"423","way",8
"424","web",8
"425","academic",7
"426","aggressive",7
"427","amounts",7
"428","articles",7
"429","b",7
"430","bachelors",7
"431","background",7
"432","brand",7
"433","bring",7
"434","catered",7
"435","continue",7
"436","designing",7
"437","enterprise",7
"438","establish",7
"439","every",7
"440","experiment",7
"441","experiments",7
"442","financial",7
"443","focus",7
"444","fortune",7
"445","given",7
"446","half",7
"447","improving",7
"448","incredible",7
"449","m",7
"450","managing",7
"451","mapreduce",7
"452","matching",7
"453","methods",7
"454","minimum",7
"455","ml",7
"456","multiple",7
"457","now",7
"458","nyc",7
"459","options",7
"460","per",7
"461","place",7
"462","planning",7
"463","player",7
"464","pro",7
"465","quick",7
"466","review",7
"467","room",7
"468","saas",7
"469","scientific",7
"470","sign",7
"471","similar",7
"472","small",7
"473","specific",7
"474","sr",7
"475","stack",7
"476","state",7
"477","total",7
"478","two",7
"479","used",7
"480","user",7
"481","validate",7
"482","variety",7
"483","various",7
"484","–",6
"485","actionable",6
"486","address",6
"487","applied",6
"488","architecture",6
"489","artificial",6
"490","assist",6
"491","billions",6
"492","bono",6
"493","book",6
"494","campaign",6
"495","category",6
"496","chicago",6
"497","choice",6
"498","classification",6
"499","clustering",6
"500","co",6
"501","computing",6
"502","consumers",6
"503","continually",6
"504","continuous",6
"505","core",6
"506","course",6
"507","courses",6
"508","curriculum",6
"509","databases",6
"510","delivery",6
"511","desired",6
"512","efforts",6
"513","empower",6
"514","enable",6
"515","evaluate",6
"516","exception",6
"517","extract",6
"518","extremely",6
"519","fast",6
"520","forward",6
"521","geographic",6
"522","haves",6
"523","heart",6
"524","holidays",6
"525","immediate",6
"526","implementing",6
"527","includes",6
"528","instruction",6
"529","instructor",6
"530","interviews",6
"531","just",6
"532","leaders",6
"533","limited",6
"534","manipulating",6
"535","meetings",6
"536","multi",6
"537","non",6
"538","objects",6
"539","online",6
"540","opening",6
"541","optimize",6
"542","order",6
"543","others",6
"544","present",6
"545","process",6
"546","production",6
"547","programs",6
"548","provides",6
"549","publicly",6
"550","pursue",6
"551","quarter",6
"552","quarters",6
"553","reports",6
"554","response",6
"555","scaling",6
"556","scheduling",6
"557","sciences",6
"558","scipy",6
"559","scripting",6
"560","service",6
"561","sharpen",6
"562","simulation",6
"563","solid",6
"564","stakeholders",6
"565","students",6
"566","taking",6
"567","teaching",6
"568","technological",6
"569","term",6
"570","things",6
"571","thrive",6
"572","traded",6
"573","unique",6
"574","validation",6
"575","visualizing",6
"576","writing",6
"577","actively",5
"578","analytic",5
"579","answer",5
"580","applying",5
"581","approach",5
"582","aspects",5
"583","attractive",5
"584","available",5
"585","balance",5
"586","beyond",5
"587","breaking",5
"588","bright",5
"589","bs",5
"590","businesses",5
"591","careers",5
"592","casalary",5
"593","clinical",5
"594","collaborate",5
"595","collaborative",5
"596","common",5
"597","comparable",5
"598","computational",5
"599","concepts",5
"600","contribute",5
"601","control",5
"602","dataset",5
"603","days",5
"604","defense",5
"605","define",5
"606","desire",5
"607","direction",5
"608","discovery",5
"609","early",5
"610","easy",5
"611","effective",5
"612","effectively",5
"613","either",5
"614","employ",5
"615","end",5
"616","energy",5
"617","engaging",5
"618","enhance",5
"619","fastest",5
"620","feedback",5
"621","find",5
"622","fully",5
"623","generate",5
"624","getting",5
"625","group",5
"626","hbase",5
"627","house",5
"628","ideas",5
"629","included",5
"630","infrastructure",5
"631","ingestion",5
"632","innovation",5
"633","integration",5
"634","intellectual",5
"635","interact",5
"636","interest",5
"637","interests",5
"638","interface",5
"639","interfaces",5
"640","interpret",5
"641","interviewing",5
"642","involved",5
"643","jupyter",5
"644","leveraging",5
"645","ll",5
"646","long",5
"647","master’s",5
"648","military",5
"649","million",5
"650","mongodb",5
"651","much",5
"652","needs",5
"653","ongoing",5
"654","organization",5
"655","partner",5
"656","patterns",5
"657","pay",5
"658","person",5
"659","pick",5
"660","pieces",5
"661","powerful",5
